stockid,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
002031.SZ,,,,,,41963,,,,,,
002032.SZ,,,,,,,,,,,,
002033.SZ,,,,,,41688,,40921,,40288,,
002034.SZ,,,43083,42496,,,,,,,,
002035.SZ,,,,,,,41557,41270,,,,
002036.SZ,,,,,42348,,,,,,,
002037.SZ,43469,,,,,,,41095,,,,
002038.SZ,,,,,,,,,,,,
002039.SZ,,,,,,,,,40554,,,
002040.SZ,,,42753,,,,,,,,,
002041.SZ,,,,,,,,,,,,
002042.SZ,,,42815,,,,,,,40527,39972,
002043.SZ,,,,42425,,,,,40774,,,
002044.SZ,43784,,43061,,42268,,,,,,,
002045.SZ,,43272,,,,,,,,40311,,
002046.SZ,,43125,43076,42445,,,,,,,40108,
002047.SZ,,,43033,,,41733,41638,,,,,
002048.SZ,,,43096,,,,,,,40277,,
002049.SZ,,,,,,,41327,41269,,,,
002050.SZ,,,42996,42376,42208,,,,,40539,,39813
002051.SZ,43614,,,,,,,41269,,40506,,
002052.SZ,,,,,42366,,,,,,40060,
002053.SZ,43546,,,,42277,,,,,,,
002054.SZ,,,,,,,,,,,,
002055.SZ,,,42971,,42114,,,,40612,,,
002056.SZ,,,,,,,,,,,,
002057.SZ,,,43007,,,,,41045,,,,
002058.SZ,,,,,,,,,,,,
002059.SZ,43661,,,,,42003,41620,,,,,
002060.SZ,,,,,,,,,40805,,,39674
002061.SZ,,43343,43068,42564,,,41327,,,,,
002062.SZ,,,,,,,,,,,,39615
002063.SZ,,43118,,,,,,,,,,
002064.SZ,43816,,,,,41905,,,,,,
002065.SZ,,,,,42208,41835,,,40597,,,39506
002066.SZ,,,,,,,,,,,39955,
002067.SZ,,,,,,,,,40725,,,
002068.SZ,,,42941,,,,,,40589,,,
002069.SZ,,,,,,,,,40613,,,
002071.SZ,,,,,,41752,,,,,,
002072.SZ,,,,,,,,,,,,
002073.SZ,,,,42677,42199,,,,,,39937,
002074.SZ,,,,,42166,,,,,,,
002075.SZ,,,,,,,,,,40542,,
002076.SZ,,43228,,,42072,,,,,,,
002077.SZ,,,,42542,42114,,,,,,,
002078.SZ,,,,,42088,,41380,,,,,
002079.SZ,,,,,,,,,40870,,,
002080.SZ,,,,42499,,,,,,40541,,
002081.SZ,,,,,,,,,40870,,,
002082.SZ,,,,,,,,,,,,39511
002083.SZ,,,,,,,,,,,,
002084.SZ,,,43048,,42293,,,,,,,
002085.SZ,,,,,42368,,,,40744,,,
002086.SZ,,43228,,,42326,,,,,,,39539
002087.SZ,,,,42555,,,,,,40326,,
002088.SZ,,,,,,,,,,,40077,
002089.SZ,,,,,,,41421,,,40352,,
002090.SZ,,,,,42195,,,,,,,
002091.SZ,,,42793,,,,,,,,,
002092.SZ,,,,42594,,,41533,,,40287,,
002093.SZ,,,42739,,,,,,40556,,,
002094.SZ,,43210,42922,42535,,,,,,,,
002095.SZ,,,,,,,,,,,,
002096.SZ,,,,,,,,41243,,,,
002097.SZ,,,43020,,,41829,,,,,,39454
002098.SZ,,,,,42369,,,,,,,
002099.SZ,,,,42632,,41962,,,,,,
002100.SZ,,,,,42215,,41481,,,40290,,39771
002101.SZ,,,42845,,,,41498,,,40480,,
002102.SZ,,,42804,,42094,42003,,,,40492,,
002103.SZ,,,,,42154,,,,,,,
002104.SZ,,,,,,,,,,,,
002105.SZ,,,,,,,,,,,,
002106.SZ,,,,,,,41351,,,,,
002107.SZ,,,,,,,,,,,,39686
002108.SZ,,,,42692,,41984,,41032,,,39876,
002109.SZ,,,,42726,,,,,,,,
002110.SZ,,43283,,42642,,,,,,,,
002111.SZ,,,,42625,42199,,,,40749,40367,,
002112.SZ,,,,,,,,,,,,
002113.SZ,,,43097,42487,,,,,,,,
002114.SZ,,,42783,,,,41591,,,,,
002115.SZ,,43187,43095,,,,,,40884,,40072,
002116.SZ,,,,,,,,,,,,
002117.SZ,,,,,,,,,,40429,,
002118.SZ,,,,42488,,,,,,40543,,
002119.SZ,,,,,,,41337,,,,,
002120.SZ,,43210,,42726,,,,,,,,
002121.SZ,,,42815,,42118,,,,,40493,,
002122.SZ,,,,,,,,,,,39861,
002123.SZ,,,,,42269,,,,,,40025,
