stockid,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
002078.SZ,,,,,1.0,,1.0,,,,,
002079.SZ,,,,,,,,,1.0,,,
002080.SZ,,,,1.0,,,,,,1.0,,
002081.SZ,,,,,,,,,1.0,,,
002082.SZ,,,,,,,,,,,,1.0
002083.SZ,,,,,,,,,,,,
002084.SZ,,,1.0,,1.0,,,,,,,
002085.SZ,,,,,1.0,,,,1.0,,,
002086.SZ,,1.0,,,1.0,,,,,,,1.0
002087.SZ,,,,1.0,,,,,,1.0,,
002088.SZ,,,,,,,,,,,1.0,
002089.SZ,,,,,,,1.0,,,1.0,,
002090.SZ,,,,,1.0,,,,,,,
002091.SZ,,,1.0,,,,,,,,,
002092.SZ,,,,1.0,,,1.0,,,1.0,,
002093.SZ,,,1.0,,,,,,1.0,,,
002094.SZ,,1.0,1.0,1.0,,,,,,,,
002095.SZ,,,,,,,,,,,,
002096.SZ,,,,,,,,1.0,,,,
002097.SZ,,,1.0,,,1.0,,,,,,1.0
002098.SZ,,,,,1.0,,,,,,,
002099.SZ,,,,1.0,,1.0,,,,,,
002100.SZ,,,,,1.0,,1.0,,,1.0,,1.0
002101.SZ,,,1.0,,,,1.0,,,1.0,,
002102.SZ,,,1.0,,1.0,1.0,,,,1.0,,
002103.SZ,,,,,1.0,,,,,,,
002104.SZ,,,,,,,,,,,,
002105.SZ,,,,,,,,,,,,
002106.SZ,,,,,,,1.0,,,,,
002107.SZ,,,,,,,,,,,,1.0
002108.SZ,,,,1.0,,1.0,,1.0,,,1.0,
002109.SZ,,,,1.0,,,,,,,,
002110.SZ,,1.0,,1.0,,,,,,,,
002111.SZ,,,,1.0,1.0,,,,1.0,1.0,,
002112.SZ,,,,,,,,,,,,
002113.SZ,,,1.0,1.0,,,,,,,,
002114.SZ,,,1.0,,,,1.0,,,,,
002115.SZ,,1.0,1.0,,,,,,1.0,,1.0,
002116.SZ,,,,,,,,,,,,
002117.SZ,,,,,,,,,,1.0,,
002118.SZ,,,,1.0,,,,,,1.0,,
002119.SZ,,,,,,,1.0,,,,,
002120.SZ,,1.0,,1.0,,,,,,,,
002121.SZ,,,1.0,,1.0,,,,,1.0,,
002122.SZ,,,,,,,,,,,1.0,
002123.SZ,,,,,1.0,,,,,,1.0,
002124.SZ,,,1.0,,1.0,,,,,,,
002125.SZ,,,,1.0,1.0,,,,1.0,,,
002126.SZ,,,1.0,,1.0,,,,1.0,,,
002127.SZ,,,1.0,1.0,,,,,,1.0,,
002128.SZ,1.0,,,,,1.0,,,,,,
002129.SZ,,1.0,,,1.0,1.0,,1.0,,,,1.0
002130.SZ,,,,1.0,,,,,,,,
002131.SZ,,,,1.0,1.0,1.0,,1.0,,,,
002132.SZ,,,,1.0,,,,,,1.0,,
002133.SZ,,,,,,1.0,,,,,,
002134.SZ,,,,,,,,,,,,
002135.SZ,,,1.0,1.0,,,,,1.0,,,
